id;content;attrib;titel;rechte;valid_from;valid_to;publish_date;archiv
1;../fake-data/blob/hipster.txt;Dinar lime Osttimor;card Sports;enterprise Internal;2021-08-29;2021-08-30;2021-08-29;JA
2;../fake-data/blob/hipster.txt;Peso;Pants;Hamburg;2021-08-30;2021-08-30;2021-08-30;NEIN
3;../fake-data/blob/hipster.txt;Bedfordshire flexibility;real-time;Sachsen Salad;2021-08-30;2021-08-29;2021-08-30;JA
4;../fake-data/blob/hipster.txt;Salad Fresh;lavender Global SAS;Brandenburg transition;2021-08-30;2021-08-30;2021-08-30;JA
5;../fake-data/blob/hipster.txt;withdrawal Account sexy;Investment experiences innovate;Marketing;2021-08-30;2021-08-30;2021-08-30;JA
6;../fake-data/blob/hipster.txt;User-friendly;Sleek;Fresh Bremen pixel;2021-08-29;2021-08-29;2021-08-29;NEIN
7;../fake-data/blob/hipster.txt;Nordrhein-Westfalen input;Buckinghamshire;Computer;2021-08-29;2021-08-30;2021-08-30;NEIN
8;../fake-data/blob/hipster.txt;Peso;pink Kirgisistan Kokosinseln;Card;2021-08-30;2021-08-29;2021-08-29;NEIN
9;../fake-data/blob/hipster.txt;Cambridgeshire convergence Investor;Developer models;platforms Checking initiatives;2021-08-30;2021-08-30;2021-08-29;NEIN
10;../fake-data/blob/hipster.txt;Fresh generating 24/7;Rustic feed;yellow array Sachsen-Anhalt;2021-08-30;2021-08-30;2021-08-30;NEIN
